index;Dato Numérico;fecha_key;ubicacion_key
0;81,80;4;4
1;69,84;4;3
2;63,18;4;0
3;67,32;4;1
4;80,60;4;12
5;58,10;4;11
6;52,46;4;10
7;65,22;4;8
8;58,65;4;9
9;84,83;4;7
10;48,80;4;6
11;66,46;4;5
12;52,56;4;21
13;58,11;4;22
14;75,79;4;20
15;59,64;4;18
16;66,28;4;19
17;76,41;4;16
18;74,42;4;15
19;67,31;4;17
20;61,40;4;13
21;74,13;4;32
22;80,92;4;31
23;60,87;4;30
24;67,38;4;28
25;52,22;4;27
26;65,16;4;26
27;54,41;4;25
28;57,56;4;33
29;62,47;4;24
30;53,86;4;36
31;51,29;4;23
