index;Dato Numérico;fecha_key;ubicacion_key;regimen_key
222;365.021,00;7;22;0
223;374.216,00;8;22;0
224;379.528,00;4;22;0
225;392.206,00;5;20;0
226;398.375,00;6;20;0
227;417.048,00;0;20;0
228;430.172,00;1;20;0
229;427.377,00;2;20;0
230;410.586,00;3;20;0
231;419.506,00;7;20;0
232;429.666,00;8;20;0
233;437.504,00;4;20;0
234;252.037,00;5;18;0
235;252.124,00;6;18;0
236;256.271,00;0;18;0
237;266.149,00;1;18;0
238;271.022,00;2;18;0
239;261.913,00;3;18;0
240;264.517,00;7;18;0
241;268.498,00;8;18;0
242;273.426,00;4;18;0
243;217,00;5;34;0
244;154,00;6;34;0
245;150,00;0;34;0
246;177,00;1;34;0
247;241,00;2;34;0
248;269,00;3;34;0
249;247,00;7;34;0
250;272,00;8;34;0
251;276,00;4;34;0
252;414.199,00;5;19;0
253;417.410,00;6;19;0
254;427.641,00;0;19;0
255;428.146,00;1;19;0
256;442.660,00;2;19;0
257;420.208,00;3;19;0
258;419.328,00;7;19;0
259;431.827,00;8;19;0
260;447.726,00;4;19;0
261;222.991,00;5;16;0
262;226.462,00;6;16;0
263;231.811,00;0;16;0
264;251.901,00;1;16;0
265;260.724,00;2;16;0
266;260.295,00;3;16;0
267;264.656,00;7;16;0
268;272.574,00;8;16;0
269;285.283,00;4;16;0
270;469.334,00;5;15;0
271;473.782,00;6;15;0
272;486.523,00;0;15;0
273;501.246,00;1;15;0
274;526.602,00;2;15;0
275;522.685,00;3;15;0
276;528.413,00;7;15;0
277;547.895,00;8;15;0
278;565.660,00;4;15;0
279;401.225,00;5;12;0
280;406.691,00;6;12;0
281;420.888,00;0;12;0
282;432.682,00;1;12;0
283;448.693,00;2;12;0
284;447.037,00;3;12;0
285;455.687,00;7;12;0
286;466.753,00;8;12;0
287;481.659,00;4;12;0
288;66.901,00;5;11;0
289;66.587,00;6;11;0
290;69.506,00;0;11;0
291;71.282,00;1;11;0
292;72.826,00;2;11;0
293;70.368,00;3;11;0
294;72.005,00;7;11;0
295;74.070,00;8;11;0
296;73.808,00;4;11;0
297;252.703,00;5;10;0
298;255.610,00;6;10;0
299;261.730,00;0;10;0
300;266.547,00;1;10;0
301;276.756,00;2;10;0
302;273.781,00;3;10;0
303;275.363,00;7;10;0
304;279.482,00;8;10;0
305;286.137,00;4;10;0
306;300.434,00;5;8;0
307;298.963,00;6;8;0
308;303.799,00;0;8;0
309;301.091,00;1;8;0
310;309.347,00;2;8;0
311;309.525,00;3;8;0
312;312.906,00;7;8;0
313;318.505,00;8;8;0
314;323.103,00;4;8;0
315;307.653,00;5;9;0
316;304.566,00;6;9;0
317;310.193,00;0;9;0
318;302.134,00;1;9;0
319;300.985,00;2;9;0
320;289.991,00;3;9;0
321;294.804,00;7;9;0
322;308.780,00;8;9;0
323;321.948,00;4;9;0
324;1.036.261,00;5;7;0
